Ozone,AQI_o3,NO2,AQI_no2,PM2.5,AQI_pm2.5,CO,AQI_co,cluster,cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°),month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12,year_2018,year_2020,year_2021,day_sun,day_mon,day_tue,day_wed,day_thu,day_fri,day_sat,county_01,county_02,precipitation,rain,temperature
0.2650602409638554,0.13513513513513514,0.17871759890859482,0.18055555555555552,0.1111111111111111,0.14285714285714288,0.0625,0.05555555555555555,1,0.5729166666666666,0.34500000000000003,0.0973266499582289,0.7775,0.33978234582829503,0.7862179883706545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,5.408333333333334
0.28915662650602403,0.14864864864864866,0.13096862210095497,0.12499999999999999,0.09822866344605474,0.1168831168831169,0.0625,0.05555555555555555,0,0.5729166666666666,0.34500000000000003,0.0973266499582289,0.7775,0.33978234582829503,0.7862179883706545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,5.408333333333334
0.28915662650602403,0.14864864864864866,0.13096862210095497,0.12499999999999999,0.07246376811594202,0.05844155844155845,0.0625,0.05555555555555555,0,0.5729166666666666,0.34500000000000003,0.0973266499582289,0.7775,0.33978234582829503,0.7862179883706545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,5.408333333333334
0.2771084337349397,0.1418918918918919,0.2223738062755798,0.2222222222222222,0.15297906602254427,0.24025974025974028,0.0625,0.05555555555555555,0,0.10250000000000001,0.09916666666666667,0.014202172096908938,0.015,0.37243047158403875,0.7656810590127429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,2.3874999999999997
0.2771084337349397,0.1418918918918919,0.2223738062755798,0.2222222222222222,0.15297906602254427,0.24025974025974028,0.0625,0.05555555555555555,0,0.10250000000000001,0.09916666666666667,0.014202172096908938,0.015,0.37243047158403875,0.7656810590127429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0.0,2.3874999999999997
0.28915662650602403,0.14864864864864866,0.43656207366984995,0.41666666666666663,0.17391304347826084,0.28571428571428575,0.125,0.1111111111111111,0,0.10291666666666666,0.11291666666666667,0.000835421888053467,0.0,0.34975816203143895,0.7002350612396387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,3.0124999999999997
0.28915662650602403,0.14864864864864866,0.43656207366984995,0.41666666666666663,0.16747181964573268,0.27272727272727276,0.125,0.1111111111111111,0,0.10291666666666666,0.11291666666666667,0.000835421888053467,0.0,0.34975816203143895,0.7002350612396387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,3.0124999999999997
0.2771084337349397,0.1418918918918919,0.21145975443383352,0.20833333333333331,0.11272141706924313,0.14935064935064937,0.125,0.1111111111111111,1,0.1475,0.11833333333333335,0.06766917293233082,0.0,0.4986396614268441,0.9056043548187556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,0.09999999999999994
0.2650602409638554,0.13513513513513514,0.2469304229195089,0.25,0.10305958132045087,0.12337662337662339,0.0625,0.05555555555555555,0,0.1475,0.11833333333333335,0.06766917293233082,0.0,0.4986396614268441,0.9056043548187556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.09999999999999994
0.2650602409638554,0.13513513513513514,0.2469304229195089,0.25,0.08695652173913043,0.09090909090909091,0.0625,0.05555555555555555,0,0.1475,0.11833333333333335,0.06766917293233082,0.0,0.4986396614268441,0.9056043548187556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.09999999999999994
0.24096385542168672,0.12162162162162163,0.5879945429740792,0.5694444444444444,0.14331723027375198,0.2142857142857143,0.25,0.2777777777777778,0,0.006666666666666666,0.0075,0.0,0.0,0.5273579201934704,0.8780155882716814,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,-6.7749999999999995
0.24096385542168672,0.12162162162162163,0.5879945429740792,0.5694444444444444,0.12560386473429952,0.17532467532467533,0.25,0.2777777777777778,0,0.006666666666666666,0.0075,0.0,0.0,0.5273579201934704,0.8780155882716814,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,-6.7749999999999995
0.1325301204819277,0.06756756756756757,0.7380627557980901,0.7222222222222222,0.2576489533011272,0.37662337662337664,0.625,0.6666666666666666,0,0.0,0.0,0.0,0.0,0.14132406287787183,0.6846467895583324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,-2.275
0.024096385542168672,0.013513513513513514,0.795361527967258,0.7777777777777777,0.42512077294685985,0.5064935064935066,0.625,0.6666666666666666,1,0.37375,0.32166666666666666,0.0,0.2783333333333333,0.04851874244256352,0.683409625139181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.5166666666666666
0.0,0.0,0.8949522510231924,0.8888888888888888,0.48148148148148145,0.5454545454545455,0.6875,0.7222222222222221,0,0.37375,0.32166666666666666,0.0,0.2783333333333333,0.04851874244256352,0.683409625139181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.5166666666666666
0.0,0.0,0.8949522510231924,0.8888888888888888,0.499194847020934,0.5584415584415585,0.6875,0.7222222222222221,0,0.37375,0.32166666666666666,0.0,0.2783333333333333,0.04851874244256352,0.683409625139181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.5166666666666666
0.2289156626506024,0.11486486486486489,0.5934515688949523,0.5694444444444444,0.19967793880837356,0.33766233766233766,0.625,0.6666666666666666,0,0.5170833333333333,0.48291666666666666,0.0,0.32375,0.2057134220072552,0.16070765804775455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,2.3666666666666667
0.2289156626506024,0.11486486486486489,0.5934515688949523,0.5694444444444444,0.2190016103059581,0.35064935064935066,0.625,0.6666666666666666,0,0.5170833333333333,0.48291666666666666,0.0,0.32375,0.2057134220072552,0.16070765804775455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,2.3666666666666667
0.33734939759036137,0.17567567567567569,0.22646657571623463,0.2222222222222222,0.15136876006441222,0.2337662337662338,0.0625,0.05555555555555555,0,0.92,0.7925,0.6670843776106934,0.4425,0.2696493349455865,0.13472720524557713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.004166666666666667,0.004166666666666667,5.479166666666667
0.33734939759036137,0.17567567567567569,0.22646657571623463,0.2222222222222222,0.15458937198067632,0.24025974025974028,0.0625,0.05555555555555555,0,0.92,0.7925,0.6670843776106934,0.4425,0.2696493349455865,0.13472720524557713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.004166666666666667,0.004166666666666667,5.479166666666667
0.34939759036144574,0.18243243243243243,0.19508867667121418,0.19444444444444442,0.10305958132045087,0.12337662337662339,0.125,0.1111111111111111,1,0.9125,0.8266666666666668,0.5835421888053467,0.60875,0.5645405078597341,0.3529630087838674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.3,1.3,10.916666666666666
0.37349397590361444,0.19594594594594597,0.15552523874488405,0.1527777777777778,0.09822866344605474,0.1168831168831169,0.0625,0.05555555555555555,0,0.9125,0.8266666666666668,0.5835421888053467,0.60875,0.5645405078597341,0.3529630087838674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.3,1.3,10.916666666666666
0.37349397590361444,0.19594594594594597,0.15552523874488405,0.1527777777777778,0.08212560386473429,0.07792207792207792,0.0625,0.05555555555555555,0,0.9125,0.8266666666666668,0.5835421888053467,0.60875,0.5645405078597341,0.3529630087838674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.3,1.3,10.916666666666666
0.30120481927710835,0.1554054054054054,0.2605729877216917,0.26388888888888884,0.08695652173913043,0.09090909090909091,0.0625,0.05555555555555555,0,0.10625,0.115,0.002506265664160401,0.0,0.6469165659008465,0.7653099096869975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,2.7708333333333335
0.30120481927710835,0.1554054054054054,0.2605729877216917,0.26388888888888884,0.09017713365539451,0.09740259740259741,0.0625,0.05555555555555555,0,0.10625,0.115,0.002506265664160401,0.0,0.6469165659008465,0.7653099096869975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,2.7708333333333335
0.28915662650602403,0.14864864864864866,0.592087312414734,0.5694444444444444,0.13365539452495973,0.19480519480519481,0.25,0.2777777777777778,0,0.27666666666666667,0.008333333333333333,0.41060985797827904,0.07583333333333334,0.29625151148730355,0.5888902635160214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,-0.5416666666666666
0.28915662650602403,0.14864864864864866,0.592087312414734,0.5694444444444444,0.15942028985507245,0.2532467532467533,0.25,0.2777777777777778,0,0.27666666666666667,0.008333333333333333,0.41060985797827904,0.07583333333333334,0.29625151148730355,0.5888902635160214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,-0.5416666666666666
0.30120481927710835,0.1554054054054054,0.2605729877216917,0.26388888888888884,0.16264090177133653,0.25974025974025977,0.125,0.1111111111111111,1,0.13041666666666665,0.09208333333333334,0.07393483709273183,0.010833333333333332,0.7119105199516325,0.7783001360880862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,-1.9416666666666667
0.30120481927710835,0.1554054054054054,0.27012278308321963,0.26388888888888884,0.14814814814814814,0.2272727272727273,0.0625,0.05555555555555555,0,0.13041666666666665,0.09208333333333334,0.07393483709273183,0.010833333333333332,0.7119105199516325,0.7783001360880862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,-1.9416666666666667
0.30120481927710835,0.1554054054054054,0.27012278308321963,0.26388888888888884,0.15136876006441222,0.2337662337662338,0.0625,0.05555555555555555,0,0.13041666666666665,0.09208333333333334,0.07393483709273183,0.010833333333333332,0.7119105199516325,0.7783001360880862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,-1.9416666666666667
0.14457831325301204,0.07432432432432433,0.5184174624829468,0.5,0.2367149758454106,0.36363636363636365,0.1875,0.22222222222222224,0,0.5316666666666666,0.2708333333333333,0.5396825396825397,0.15,0.3751511487303507,0.7168130644562662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.004166666666666667,0.0,-1.9000000000000001
0.14457831325301204,0.07432432432432433,0.5184174624829468,0.5,0.23510466988727854,0.36363636363636365,0.1875,0.22222222222222224,0,0.5316666666666666,0.2708333333333333,0.5396825396825397,0.15,0.3751511487303507,0.7168130644562662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.004166666666666667,0.0,-1.9000000000000001
0.2650602409638554,0.13513513513513514,0.596180081855389,0.5694444444444444,0.14814814814814814,0.2272727272727273,0.3125,0.33333333333333326,0,0.35916666666666663,0.05041666666666667,0.170843776106934,0.7033333333333333,0.08675937122128177,0.382902387727329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,2.845833333333333
0.2650602409638554,0.13513513513513514,0.596180081855389,0.5694444444444444,0.3123993558776167,0.4220779220779221,0.3125,0.33333333333333326,0,0.35916666666666663,0.05041666666666667,0.170843776106934,0.7033333333333333,0.08675937122128177,0.382902387727329,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,2.845833333333333
0.253012048192771,0.12837837837837837,0.25920873124147337,0.25,0.1690821256038647,0.27272727272727276,0.25,0.2777777777777778,1,0.8491666666666667,0.5275,0.644110275689223,0.47291666666666665,0.2809854897218863,0.5771372015340839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.3458333333333334,0.3458333333333334,6.6875
0.28915662650602403,0.14864864864864866,0.407912687585266,0.38888888888888884,0.1465378421900161,0.2207792207792208,0.1875,0.22222222222222224,0,0.8491666666666667,0.5275,0.644110275689223,0.47291666666666665,0.2809854897218863,0.5771372015340839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3458333333333334,0.3458333333333334,6.6875
0.28915662650602403,0.14864864864864866,0.407912687585266,0.38888888888888884,0.1497584541062802,0.2337662337662338,0.1875,0.22222222222222224,0,0.8491666666666667,0.5275,0.644110275689223,0.47291666666666665,0.2809854897218863,0.5771372015340839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.3458333333333334,0.3458333333333334,6.6875
0.32530120481927705,0.16891891891891894,0.35470668485675305,0.3333333333333333,0.1288244766505636,0.18181818181818182,0.125,0.1111111111111111,0,0.7866666666666667,0.35541666666666666,0.5183792815371763,0.5829166666666666,0.23292019347037488,0.6818013113942843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.07083333333333335,0.0,3.0
0.32530120481927705,0.16891891891891894,0.35470668485675305,0.3333333333333333,0.11272141706924313,0.14935064935064937,0.125,0.1111111111111111,0,0.7866666666666667,0.35541666666666666,0.5183792815371763,0.5829166666666666,0.23292019347037488,0.6818013113942843,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.07083333333333335,0.0,3.0
0.3132530120481927,0.16216216216216217,0.38472032742155526,0.37499999999999994,0.12238325281803542,0.16883116883116883,0.125,0.1111111111111111,0,0.2354166666666667,0.10250000000000001,0.23893065998329155,0.0,0.5858524788391778,0.8152913522207101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.008333333333333333,0.0,-2.5
0.3132530120481927,0.16216216216216217,0.38472032742155526,0.37499999999999994,0.13043478260869565,0.18831168831168832,0.125,0.1111111111111111,0,0.2354166666666667,0.10250000000000001,0.23893065998329155,0.0,0.5858524788391778,0.8152913522207101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.008333333333333333,0.0,-2.5
0.3132530120481927,0.16216216216216217,0.27012278308321963,0.26388888888888884,0.12238325281803542,0.16883116883116883,0.0625,0.05555555555555555,1,0.11708333333333334,0.12666666666666665,0.005430242272347535,0.0,0.7831015719467959,0.8096003958926141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,-5.4624999999999995
0.30120481927710835,0.1554054054054054,0.2660300136425648,0.26388888888888884,0.107890499194847,0.13636363636363638,0.0625,0.05555555555555555,0,0.11708333333333334,0.12666666666666665,0.005430242272347535,0.0,0.7831015719467959,0.8096003958926141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,-5.4624999999999995
0.30120481927710835,0.1554054054054054,0.2660300136425648,0.26388888888888884,0.11433172302737518,0.14935064935064937,0.0625,0.05555555555555555,0,0.11708333333333334,0.12666666666666665,0.005430242272347535,0.0,0.7831015719467959,0.8096003958926141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,-5.4624999999999995
0.2650602409638554,0.13513513513513514,0.39290586630286495,0.37499999999999994,0.10466988727858292,0.12987012987012989,0.125,0.1111111111111111,0,0.2383333333333333,0.022083333333333337,0.19632414369256473,0.33458333333333334,0.3881499395405078,0.8511691203760979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,-1.1791666666666667
0.2650602409638554,0.13513513513513514,0.39290586630286495,0.37499999999999994,0.10466988727858292,0.12987012987012989,0.125,0.1111111111111111,0,0.2383333333333333,0.022083333333333337,0.19632414369256473,0.33458333333333334,0.3881499395405078,0.8511691203760979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,-1.1791666666666667
0.3132530120481927,0.16216216216216217,0.4038199181446112,0.38888888888888884,0.11433172302737518,0.14935064935064937,0.125,0.1111111111111111,0,0.3441666666666667,0.04583333333333333,0.39849624060150374,0.21416666666666667,0.2614873035066506,0.9158728194977113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,-0.9166666666666666
0.3132530120481927,0.16216216216216217,0.4038199181446112,0.38888888888888884,0.11755233494363929,0.15584415584415584,0.125,0.1111111111111111,0,0.3441666666666667,0.04583333333333333,0.39849624060150374,0.21416666666666667,0.2614873035066506,0.9158728194977113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,-0.9166666666666666
0.33734939759036137,0.17567567567567569,0.3015006821282401,0.3055555555555555,0.10144927536231882,0.12337662337662339,0.0625,0.05555555555555555,1,0.2920833333333333,0.0016666666666666666,0.26106934001670845,0.44916666666666666,0.2762998790810157,0.6453049610293208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,-3.6374999999999997
