Date,Source,Site ID,POC,NO2,Units,AQI,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
07/25/2018,AQS,360290005,3,18.4,ppb,17,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
07/26/2018,AQS,360290005,3,18.6,ppb,17,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
07/27/2018,AQS,360290005,3,14.1,ppb,13,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
07/28/2018,AQS,360290005,3,9.6,ppb,8,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
07/29/2018,AQS,360290005,3,10.9,ppb,9,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
07/30/2018,AQS,360290005,3,19.5,ppb,18,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
07/31/2018,AQS,360290005,3,17.7,ppb,16,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/01/2018,AQS,360290005,3,12.2,ppb,11,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/02/2018,AQS,360290005,3,25.7,ppb,24,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/03/2018,AQS,360290005,3,25.2,ppb,24,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/04/2018,AQS,360290005,3,18.5,ppb,17,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/05/2018,AQS,360290005,3,17.2,ppb,16,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/06/2018,AQS,360290005,3,12.8,ppb,11,BUFFALO,20,83,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/07/2018,AQS,360290005,3,11.7,ppb,10,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/08/2018,AQS,360290005,3,19.2,ppb,18,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/09/2018,AQS,360290005,3,18.7,ppb,17,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/10/2018,AQS,360290005,3,15.5,ppb,14,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/11/2018,AQS,360290005,3,21.1,ppb,20,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/12/2018,AQS,360290005,3,13.5,ppb,12,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/13/2018,AQS,360290005,3,21.6,ppb,20,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/14/2018,AQS,360290005,3,19.1,ppb,18,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/15/2018,AQS,360290005,3,13.8,ppb,12,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/16/2018,AQS,360290005,3,32.6,ppb,30,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/17/2018,AQS,360290005,3,9.5,ppb,8,BUFFALO,20,83,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/18/2018,AQS,360290005,3,14.9,ppb,13,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
08/19/2018,AQS,360290005,3,11.4,ppb,10,BUFFALO,24,100,42602,Nitrogen dioxide (NO2),74,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",36,New York,29,Erie,42.87690667,-78.80952601
