Date,Source,Site ID,POC,CO,Units,AQI,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
10/29/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
10/30/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
10/31/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/01/2021,AQS,360610135,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/02/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/03/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/04/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/05/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/06/2021,AQS,360610135,1,0.6,ppm,7,CCNY,18,75,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/07/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/08/2021,AQS,360610135,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/09/2021,AQS,360610135,1,0.8,ppm,9,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/10/2021,AQS,360610135,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/11/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/12/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/13/2021,AQS,360610135,1,0.9,ppm,10,CCNY,18,75,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/14/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/15/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/16/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/17/2021,AQS,360610135,1,0.7,ppm,8,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/18/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/19/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/20/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/21/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/22/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/23/2021,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/24/2021,AQS,360610135,1,0.3,ppm,3,CCNY,18,75,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/25/2021,AQS,360610135,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/26/2021,AQS,360610135,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/27/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/28/2021,AQS,360610135,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/29/2021,AQS,360610135,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
11/30/2021,AQS,360610135,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/01/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
12/02/2021,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,554,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
